R,G,B
0,0,2
0,0,2
0,0,2
0,0,2
3,0,2
1,0,2
71,0,2
113,0,2
116,0,2
121,0,2
125,0,2
127,0,2
129,0,2
126,0,2
126,0,2
128,0,2
127,0,2
130,0,2
132,0,2
132,0,2
132,0,2
131,0,2
132,0,2
132,0,2
135,0,2
138,0,2
144,0,2
149,0,2
150,0,2
146,0,2
140,0,2
136,0,2
148,0,2
149,0,2
146,0,2
147,0,2
149,0,2
149,0,2
141,0,2
132,0,2
121,0,2
106,0,2
95,0,2
87,0,2
83,0,2
82,0,2
79,0,2
74,0,2
68,0,2
72,0,2
78,0,2
86,0,2
92,0,2
102,0,2
101,0,2
93,0,2
86,0,2
74,0,2
61,0,2
52,0,2
49,0,2
50,0,2
55,0,2
60,0,2
65,0,2
68,0,2
71,0,2
73,0,2
75,0,2
76,0,2
78,0,2
79,0,2
79,0,2
78,0,2
78,0,2
79,0,2
79,0,2
79,0,2
79,0,2
79,0,2
78,0,2
78,0,2
78,0,2
78,0,2
78,0,2
78,0,2
78,0,2
78,0,2
77,0,2
77,0,2
78,0,2
78,0,2
78,0,2
78,0,2
78,0,2
77,0,2
75,0,2
75,0,2
75,0,2
76,0,2
77,0,2
79,0,2
79,0,2
78,0,2
79,0,2
79,0,2
79,0,2
79,0,2
79,0,2
79,0,2
79,0,2
79,0,2
79,0,2
79,0,2
79,0,2
78,0,2
78,0,2
78,0,2
77,0,2
77,0,2
77,0,2
77,0,2
76,0,2
76,0,2
76,0,2
76,0,2
76,0,2
76,0,2
76,0,2
76,0,2
76,0,2
77,0,2
77,0,2
76,0,2
75,0,2
74,0,2
75,0,2
74,0,2
72,0,2
71,0,2
70,0,2
70,0,2
71,0,2
72,0,2
68,0,2
68,0,2
67,0,2
67,0,2
67,0,2
68,0,2
68,0,2
68,0,2
67,0,2
66,0,2
66,0,2
67,0,2
67,0,2
67,0,2
67,0,2
68,0,2
69,0,2
67,0,2
68,0,2
70,0,2
68,0,2
67,0,2
67,0,2
64,0,2
64,0,2
61,0,2
57,0,2
54,0,2
53,0,2
51,0,2
46,0,2
43,0,2
41,0,2
43,0,2
42,0,2
42,0,2
40,0,2
38,0,2
37,0,2
36,0,2
39,0,2
39,0,2
39,0,2
39,0,2
41,0,2
41,0,2
42,0,2
42,0,2
39,0,2
39,0,2
41,0,2
42,0,2
44,0,2
44,0,2
42,0,2
41,0,2
43,0,2
44,0,2
45,0,2
47,0,2
47,0,2
47,0,2
46,0,2
45,0,2
44,0,2
44,0,2
44,0,2
44,0,2
43,0,2
43,0,2
42,0,2
41,0,2
42,0,2
44,0,2
44,0,2
41,0,2
40,0,2
40,0,2
40,0,2
39,0,2
40,0,2
40,0,2
40,0,2
39,0,2
40,0,2
40,0,2
40,0,2
41,0,2
41,0,2
39,0,2
36,0,2
34,0,2
34,0,2
34,0,2
33,0,2
32,0,2
33,0,2
33,0,2
32,0,2
31,0,2
33,0,2
34,0,2
36,0,2
36,0,2
35,0,2
35,0,2
0,0,2
0,0,2
0,0,2
0,0,2
3,0,2
1,0,2
71,0,2
113,0,2
116,0,2
